CLUSTER PERFORMANCE ANALYSIS REPORT
==================================================
Generated: 2025-08-08 12:56:10
Analysis Period: 7 days

PERFORMANCE SUMMARY
--------------------
Clusters analyzed: 8897
Average CPU utilization: 19.28%
Average memory utilization: 48.77%

DETAILED METRICS
--------------------
          cluster_id  driver  data_points  avg_cpu_utilization  peak_cpu_utilization  avg_cpu_wait  avg_memory_utilization  peak_memory_utilization  avg_network_mb_received_per_minute  avg_network_mb_sent_per_minute
0801-155600-lrzzk91u   False            5                59.70                 95.85          1.78                   53.93                    66.57                                3.66                            0.65
0801-034353-k33kcutu   False            5                59.69                 62.75          0.08                   77.21                    79.44                               57.46                           51.53
0801-182833-xaqu4gsy   False            5                59.48                 97.88          0.10                   72.32                    73.45                               29.34                            0.95
0803-005905-j9mllumq   False            5                59.46                 96.32          1.62                   52.65                    64.80                                2.23                            0.65
0807-033023-uf512976   False            5                59.44                 77.80          0.36                   72.99                    74.26                               43.02                           38.34
0802-045903-6qf9smxe   False            5                59.36                 74.57          0.25                   55.03                    70.17                               53.46                           48.67
0806-090521-uobrnpjm   False            5                59.17                 59.17          0.18                   71.47                    71.47                                2.46                            0.81
0805-175723-ap2i4ahe   False           10                59.11                 96.85          0.74                   55.14                    64.63                              110.68                           29.08
0806-133345-9o9ui51u    True           11                59.05                 94.37          1.70                   44.75                    47.58                               72.55                           72.63
0802-171444-mdgx11qq   False            5                59.01                 59.38          0.76                   52.28                    70.12                               38.01                           31.74
0807-120445-zbhl4bo2   False            5                58.86                 76.03          1.19                   51.02                    65.03                               46.09                           43.95
0806-120344-fu1wq6mq   False            5                58.82                 96.60          1.75                   50.79                    63.29                                2.12                            0.70
0805-210556-dpp53zma    True           12                58.80                 89.42          1.77                   44.47                    48.60                              113.04                           71.11
0805-073625-b4oxi8eq   False            5                58.77                 95.69          1.05                   67.10                    67.79                                2.08                            0.63
0806-130048-opfzzfgy    True           10                58.74                 94.86          1.68                   44.79                    48.60                              111.83                           79.89
0808-030753-qac4a1w2   False            5                58.72                 96.99          1.47                   69.30                    70.12                                1.75                            0.60
0806-081241-wmjo4k5e   False            5                58.70                 58.70          1.89                   69.08                    69.08                                3.22                            0.63
0801-080839-2byxv3f6   False            5                58.60                 94.24          1.87                   67.34                    68.15                                3.54                            0.62
0807-130341-xvvmu1aq   False            5                58.57                 92.77          0.94                   73.74                    75.15                               32.25                            1.03
0805-225305-rrkvasya   False            5                58.53                 58.53          0.17                   67.68                    67.68                                3.95                            0.95
0805-125053-0zbosahe   False            5                58.50                 71.14          0.18                   53.60                    68.69                               57.45                           46.99
0801-215524-dvnnha1e   False            5                58.48                 96.59          0.17                   56.31                    68.41                                3.47                            0.76
0805-022038-2wus9x5e   False            5                58.36                 97.63          0.15                   52.30                    64.98                                2.72                            0.86
0801-192158-a1ii72tu   False            5                58.36                 66.21          2.37                   54.41                    69.35                               67.78                           54.31
