CLUSTER PERFORMANCE ANALYSIS REPORT
==================================================
Generated: 2025-08-08 12:56:10
Analysis Period: 7 days

PERFORMANCE SUMMARY
--------------------
Clusters analyzed: 8897
Average CPU utilization: 19.28%
Average memory utilization: 48.77%

DETAILED METRICS
--------------------
          cluster_id  driver  data_points  avg_cpu_utilization  peak_cpu_utilization  avg_cpu_wait  avg_memory_utilization  peak_memory_utilization  avg_network_mb_received_per_minute  avg_network_mb_sent_per_minute
0807-160010-grisy2aa   False           40                 3.67                  6.56          0.04                   21.81                    22.46                                0.07                            0.31
0805-072620-0jjiqlgi    True          127                 3.66                  9.92          0.04                   41.26                    45.95                                0.18                            1.18
0804-192830-qvvuh7v6    True           60                 3.66                  8.86          0.04                   38.38                    42.35                                0.18                            1.61
0804-223716-txasrk76   False            8                 3.66                  5.80          0.03                   20.98                    27.15                                0.26                            0.34
0731-154602-vx2oyoeq    True           11                 3.66                  4.27          0.05                   19.83                    20.90                                0.82                            2.55
0805-090744-xj2ao2du   False          489                 3.65                 17.91          0.03                   22.47                    24.98                                0.12                            0.43
0214-125645-dvw6dnno   False         1731                 3.65                 60.29          0.08                   23.58                    29.65                               13.86                            0.48
0731-022224-j6vxwh76    True          130                 3.65                 37.20          0.04                   45.54                    48.56                                0.19                            1.17
0714-101450-n5nhmnjl    True           60                 3.64                  8.42          0.04                   38.15                    42.27                                0.18                            1.10
0801-180226-oeswscuq    True            5                 3.64                  4.39          0.03                   18.98                    19.01                                0.21                            1.13
0731-224451-dd56f76a    True           57                 3.64                  6.83          0.04                   53.34                    53.71                                0.38                            2.18
0807-155436-ydh2mkg2    True           60                 3.64                  8.93          0.04                   42.44                    46.45                                0.30                            1.70
0806-092659-ztfcrp5e   False            7                 3.64                  6.28          0.10                   20.00                    20.13                                0.34                            0.40
0801-171645-nircxvyq   False           10                 3.64                  3.78          0.08                   15.73                    20.62                                0.15                            1.31
0805-160012-c4jxbmly   False           40                 3.64                  6.65          0.07                   21.89                    23.76                                0.08                            0.37
0807-142907-ts72es5u   False          290                 3.63                 11.78          0.03                   23.14                    23.75                                0.10                            0.43
0807-165523-sl0jda8i   False           10                 3.63                  4.92          0.04                   21.68                    26.12                                0.14                            0.39
0806-192652-8ari287m   False          300                 3.63                 28.24          0.03                   21.33                    22.72                                0.10                            0.59
0805-072608-9qw20wsy    True           61                 3.63                  8.25          0.04                   38.43                    42.75                                0.19                            1.17
0801-163315-cy9xo7bm    True           12                 3.63                  6.19          0.03                   30.88                    33.66                               14.29                            3.01
0805-155710-zgf361hu    True           60                 3.63                  9.07          0.04                   38.75                    42.71                                0.18                            1.62
0807-071713-t094cahe    True            6                 3.63                  4.95          0.03                   15.78                    15.79                                0.21                            1.00
0806-184430-2w8snzma    True           60                 3.62                  9.18          0.04                   42.12                    46.08                                0.27                            0.96
0807-141015-6v3hjf2q    True          122                 3.62                  8.89          0.04                   48.70                    49.54                                0.38                            2.54
0805-201653-1clmqzgy    True          150                 3.62                 15.31          0.04                   50.32                    51.44                                0.37                            2.15
0717-025830-p1uez0b5    True         1391                 3.62                 49.93          0.10                   48.38                    57.41                                5.19                            1.37
0805-192149-cbv15frm    True           61                 3.62                  8.53          0.04                   42.79                    46.92                                0.31                            1.22
0725-073248-qd50vo5u    True          123                 3.61                  8.85          0.04                   43.17                    47.60                                0.17                            1.09
0807-135957-i4zjmp76    True            8                 3.61                  5.02          0.03                   16.65                    16.85                                0.24                            1.82
0807-140224-0fz4s9oy    True           61                 3.61                  8.83          0.04                   37.77                    41.62                                0.17                            1.10
0801-081747-z5mxfcwi   False          567                 3.61                 28.28          0.03                   22.24                    24.36                                0.18                            0.40
0805-165030-t1jf3l7m   False          152                 3.61                 86.64          0.08                   41.37                    79.70                               96.63                           62.73
0805-172023-4961ppua    True            7                 3.61                  4.58          0.03                   18.54                    18.61                                0.33                            1.31
0806-165802-c59tmryq    True           14                 3.60                  6.66          0.03                   18.88                    19.00                                0.57                            1.16
0807-123952-zhc6sgeq   False           10                 3.60                  4.34          0.03                   20.65                    24.70                                0.39                            0.98
0801-181529-q4yimj2q    True            6                 3.60                  5.66          0.03                   18.82                    18.84                                0.20                            0.81
0807-205944-o3tu4kjm    True            6                 3.60                  4.05          0.03                   19.59                    19.61                                0.28                            1.05
0806-213300-3q8em80i   False           16                 3.60                  5.15          0.04                   21.98                    22.39                                0.11                            0.34
0806-144815-5h46pjbm    True          833                 3.60                 54.98          0.24                   48.24                    52.60                               22.15                            1.99
0804-143718-tcqzpc0i    True           60                 3.59                 10.46          0.03                   42.57                    43.21                                0.19                            1.55
0807-122924-xuwjah3m    True           59                 3.59                  8.78          0.04                   38.14                    42.04                                0.18                            1.60
0124-101655-9l2fggt9    True          484                 3.59                 11.77          0.03                   29.52                    50.94                               45.32                           49.26
0807-080235-kaud08ia    True            5                 3.59                  3.68          0.03                   16.32                    16.33                                0.20                            0.97
0801-210403-0qkfjpqq    True           12                 3.58                  4.96          0.04                   17.18                    17.43                                0.48                            1.22
0805-233854-q8wm5atu    True          123                 3.58                  9.82          0.05                   51.35                    51.88                                0.34                            2.21
0203-211010-yj0zgwdg   False          121                 3.56                 29.80          0.05                   19.29                    19.99                                0.12                            0.77
0805-091631-p3f5m87m    True           61                 3.56                  8.32          0.06                   38.16                    42.16                                0.18                            1.06
0707-151430-l37pocm4    True          168                 3.56                 10.50          0.04                   46.91                    49.82                                0.26                            1.14
0724-054312-9i2jta8i   False          459                 3.56                  7.57          0.03                   21.02                    22.56                                0.12                            0.41
0805-084529-dptgpi4y    True           13                 3.56                  5.83          0.03                   17.95                    18.17                                0.40                            1.77
0305-184421-heystxjp    True          661                 3.56                 54.10          0.12                   71.79                    98.80                               20.55                           37.99
0805-000426-fstg6976    True           14                 3.56                  9.61          0.04                   16.94                    18.08                                0.36                            1.55
0807-012124-v14lkfyq    True          120                 3.56                  7.73          0.04                   45.23                    49.12                                0.25                            1.15
0807-074656-s8qj6p76    True           59                 3.56                 11.88          0.05                   43.51                    43.97                                0.27                            0.85
0805-133442-ehzvjnde    True           61                 3.56                 11.40          0.03                   38.26                    38.93                                0.20                            0.79
0804-153217-0lye0176    True            6                 3.55                  4.94          0.03                   17.02                    17.03                                0.33                            1.09
0703-134222-hqgf51fr   False          538                 3.55                 77.80          0.07                   74.03                    81.88                                0.41                            1.10
0721-185850-yf89qn0y   False          280                 3.55                 12.52          0.03                   21.59                    22.74                                0.19                            0.46
0801-201028-703sc4ya    True           61                 3.55                  8.05          0.04                   37.59                    41.91                                0.21                            1.05
0804-222044-x5m3auj6   False         2471                 3.55                 33.56          0.04                   25.10                    31.91                               10.02                            0.68
0729-210306-i21yw9w2   False          532                 3.55                 44.11          0.04                   22.02                    25.00                                0.73                            0.68
0801-200415-eh6ldp1u    True           15                 3.55                  4.72          0.03                   15.90                    16.11                                0.26                            1.16
0430-041100-b6hr58ni    True          305                 3.55                 11.25          0.02                   30.35                    48.33                               54.54                           76.81
0805-010846-xuaxwqoi    True           15                 3.55                  5.75          0.03                   15.40                    15.90                                0.29                            1.22
0731-155006-2ffv5vyq   False         1368                 3.54                 69.24          0.15                   22.21                    28.41                               28.67                            0.53
0801-171935-it7otk3m    True            7                 3.54                  3.70          0.04                   15.86                    15.98                                0.24                            1.28
0807-005702-2cplbp5e    True            5                 3.53                  3.76          0.03                   15.69                    15.70                                0.18                            1.10
0805-093102-9kms7zma    True           60                 3.53                 10.41          0.04                   40.74                    41.36                                0.27                            0.86
0806-102554-185tcu1e   False            5                 3.53                  3.53          0.04                   29.98                    29.98                                0.26                            0.62
0804-013205-5u4wxely    True           87                 3.52                 20.18          0.06                   41.18                    45.99                                0.59                            1.03
0806-204153-kcld2jgy    True           12                 3.52                  4.95          0.04                   19.24                    19.43                                0.24                            1.52
0807-113610-uqm4x4b6    True          120                 3.52                  9.96          0.04                   39.15                    43.49                                0.19                            1.29
0803-233210-0gtius5u    True            8                 3.52                  6.34          0.04                   17.49                    17.61                                0.29                            0.95
0802-000010-ht75aq6q   False           40                 3.51                  6.85          0.08                   22.42                    24.20                                0.42                            0.57
0807-064315-moowrleq    True            5                 3.51                  3.52          0.03                   15.07                    15.10                                0.20                            0.95
0807-055726-6sfqy2oi    True           61                 3.51                 10.17          0.05                   40.97                    41.90                                0.28                            1.55
0806-074410-ief8y32q    True            5                 3.51                  3.75          0.03                   16.16                    16.17                                0.19                            1.02
0731-054820-q3f02jo2   False          290                 3.50                 74.37          0.24                   21.66                    27.39                               21.19                            0.49
0806-033905-3ru8hbf6    True          245                 3.50                  8.88          0.04                   40.61                    47.21                                0.18                            1.22
0731-100313-q6urmexe    True           11                 3.50                  4.02          0.04                   19.52                    19.55                                0.55                            2.12
0807-050601-irqutcsy   False         1260                 3.50                 54.07          0.07                   21.65                    26.08                                9.68                            0.50
0808-010012-eac6ep02   False           56                 3.50                  5.57          0.06                   18.15                    23.72                                0.09                            0.55
0804-193113-1ku01jbm    True            6                 3.50                  4.60          0.03                   17.67                    17.70                                0.29                            1.08
0806-010654-dwz5wvf6    True           61                 3.50                  8.40          0.04                   38.17                    42.40                                0.17                            1.07
0206-162000-r4g1sae1   False          266                 3.50                 25.69          0.04                   31.68                    32.62                                0.18                            0.50
0801-150923-d060bbpu   False            8                 3.49                  6.88          0.02                   23.47                    23.65                                0.20                            0.32
0801-165030-uqph0qoi   False          165                 3.49                 89.30          0.10                   78.03                    81.60                              117.56                          146.74
0807-204109-9uxj10l2   False           44                 3.49                  6.11          0.06                   38.07                    39.85                                0.08                            0.31
0801-142639-xc5o16oi    True           61                 3.49                  9.15          0.04                   37.87                    42.04                                0.20                            1.09
0806-010012-cwwruosy   False           56                 3.49                  5.20          0.05                   17.96                    24.42                                0.09                            0.59
0808-054618-y5vea2aa    True            9                 3.48                  5.50          0.03                   17.67                    17.77                                0.30                            1.18
0803-165523-ejnabv2q   False           10                 3.48                  4.13          0.04                   20.78                    24.73                                0.30                            1.04
0730-224822-xxaofjf6   False          721                 3.48                 17.86          0.04                   21.62                    22.81                                0.09                            0.49
0508-051741-wb9sl2p4   False         1991                 3.48                 90.63          0.02                    8.71                    24.66                                2.32                            2.32
0804-000011-tq31vguq   False           32                 3.48                  5.08          0.12                   21.55                    23.33                                0.10                            0.60
0728-134617-l9409jpu   False          552                 3.47                  7.45          0.03                   21.39                    23.07                                0.09                            0.44
0807-143941-4ihb2oku   False           62                 3.47                  8.05          0.05                   20.58                    21.22                                0.11                            0.37
0807-201645-webhlbgy    True            5                 3.47                  3.48          0.03                   19.80                    19.81                                0.19                            0.89
0805-110011-vhi1a6fm   False            8                 3.47                  4.13          0.12                   16.25                    16.25                                0.17                            1.52
0722-200555-qyvv8xsi   False          586                 3.47                  7.00          0.03                   21.03                    22.18                                0.11                            0.50
0801-190514-dcjc6d5e    True            7                 3.47                  4.55          0.03                   18.26                    18.30                                0.25                            0.99
0807-201717-742e7eoi    True           17                 3.47                 12.15          0.04                   17.54                    19.05                                0.31                            1.06
0805-192127-pta13pci    True           26                 3.47                  8.43          0.04                   16.95                    18.26                                0.27                            1.03
0731-214001-lpa4nj0y   False          613                 3.46                  7.44          0.04                   23.01                    24.14                                0.09                            0.47
0807-205821-qm4zxhxu    True            8                 3.46                  4.81          0.03                   17.28                    17.36                                0.44                            1.18
0805-183524-p00y0176    True           15                 3.46                  4.48          0.03                   16.17                    16.40                                0.25                            1.19
0805-192120-koz3zxn6    True           60                 3.46                  8.00          0.04                   43.36                    46.90                                0.24                            1.19
0805-015046-zj05xafm   False         1712                 3.46                 19.39          0.05                   45.86                    49.70                                0.29                            0.51
0806-110013-vtw8036a   False           12                 3.45                  3.88          0.03                   14.85                    14.95                                0.10                            0.34
0807-073622-dx1j3uhe    True            5                 3.45                  3.56          0.03                   19.28                    19.28                                0.18                            0.95
0806-135456-fewx3gnm   False            5                 3.45                  3.52          0.03                   24.74                    24.77                                0.43                            0.32
0805-071412-gi8cjy8i    True            5                 3.44                  3.46          0.03                   18.54                    18.56                                0.22                            0.89
0805-223716-lya36scy   False            8                 3.44                 11.21          0.03                   25.16                    25.28                                0.21                            0.29
0806-195546-z8f9gkxu   False          558                 3.44                 23.06          0.04                   22.12                    23.07                                0.15                            0.46
0619-162026-endziv98   False         5633                 3.44                 22.70          0.03                   23.92                    25.09                                0.15                            0.67
0804-135837-3gx6zzf6    True           43                 3.43                 16.67          0.03                   39.60                    41.47                                2.22                           17.46
0801-201838-n1h5b576    True           60                 3.43                  9.90          0.04                   38.31                    42.52                                0.24                            1.61
0801-201734-9xs7jhua    True           60                 3.43                  9.46          0.04                   38.77                    42.86                                0.20                            1.07
0807-061019-qly9x442    True          597                 3.43                 41.67          0.07                   21.51                    23.33                               10.70                            2.93
0804-153156-tm1hmr6a    True            5                 3.43                  4.12          0.03                   16.71                    16.72                                0.38                            1.53
0803-221625-o8wnk1xu    True           19                 3.43                  8.13          0.05                   70.39                    71.80                                0.49                            2.16
0804-193041-b5v52vbm    True            5                 3.43                  3.45          0.03                   16.81                    16.84                                0.40                            1.24
0805-215946-7or8wfte    True           60                 3.42                  8.22          0.04                   38.18                    42.06                                0.20                            1.11
0805-010454-i96sn1n6    True           26                 3.42                  9.03          0.04                   16.90                    17.28                                0.32                            1.07
0801-023650-p4z0lyly    True           10                 3.42                  5.77          0.03                   16.50                    16.67                                0.23                            1.20
0806-191329-egp9p24y    True            8                 3.42                  4.83          0.04                   16.51                    16.61                                0.29                            1.28
0806-134717-4t9v1t02    True            8                 3.42                  6.01          0.03                   18.41                    18.55                                0.28                            0.93
0801-052009-hq8utnv6   False          484                 3.41                  5.73          0.03                   21.02                    22.23                                0.09                            0.43
0807-080702-sawwrriq    True           14                 3.41                  5.85          0.03                   16.25                    16.43                                0.29                            1.18
0801-160011-f0ld7tw2   False           35                 3.41                  6.30          0.05                   22.16                    22.95                                0.42                            0.30
0805-010800-2cspxcsy    True            5                 3.40                  3.61          0.03                   15.15                    15.16                                0.19                            1.01
0805-092143-3gm0p3wy    True            9                 3.40                  5.34          0.03                   17.56                    17.66                                0.27                            1.14
0527-211653-2ujzccyb    True          404                 3.40                 26.81          0.04                   46.12                    50.08                                1.47                            1.65
0807-064331-ju0msbo2    True            5                 3.40                  3.40          0.03                   15.18                    15.19                                0.20                            1.00
0806-212329-1v7g3v2q    True            6                 3.40                  4.01          0.03                   17.04                    17.06                                0.19                            1.14
0731-175553-8nuthkhu   False          320                 3.40                 12.48          0.04                   22.48                    25.36                                0.10                            0.47
0725-151729-1av2sa36   False          769                 3.40                  7.51          0.04                   22.02                    25.06                                0.10                            0.42
0805-155636-7c5iczde    True            5                 3.40                  3.80          0.03                   18.22                    18.22                                0.18                            0.95
0304-175521-72i5b2fn   False          241                 3.40                  7.95          0.03                   42.84                    45.75                                0.11                            0.45
0728-122039-ovzd3dhu    True           16                 3.39                  4.21          0.04                   49.90                    49.94                                0.21                            0.97
0807-201648-ia66ehw2    True            5                 3.39                  3.55          0.03                   16.25                    16.27                                0.18                            0.87
0807-145338-cmvlacya    True            5                 3.39                  3.48          0.04                   18.99                    18.99                                0.17                            1.02
0805-202322-t1idjjte    True            5                 3.38                  3.42          0.03                   19.13                    19.14                                0.21                            1.04
0805-171420-6sigutci    True            6                 3.38                  4.07          0.03                   16.83                    16.83                                0.25                            0.89
0807-210021-9cavf30y    True            6                 3.38                  5.09          0.03                   16.99                    17.01                                0.25                            1.10
0805-165419-3e5pyw42    True            9                 3.38                  4.27          0.03                   17.50                    17.67                                0.27                            1.17
0802-165030-pb7sdceq   False          164                 3.38                 89.87          0.09                   43.26                    81.08                               74.20                          102.70
0807-174816-ny1ivvo2   False          198                 3.38                  8.75          0.03                    9.91                    10.57                            21171.44                        21209.11
0807-201640-40ugf18y    True            5                 3.38                  3.40          0.02                   15.75                    15.78                                0.19                            0.84
0806-113531-25ca2sr6    True            5                 3.38                  5.32          0.03                   17.29                    17.29                                0.26                            0.78
0806-165018-qvby1ez6    True            5                 3.38                  3.58          0.04                   18.93                    18.93                                0.28                            1.10
0805-171146-nejc7i8i    True           11                 3.38                  5.47          0.03                   15.72                    15.94                                0.23                            0.82
0806-205733-dmhacrgy    True            6                 3.37                  5.36          0.04                   17.03                    17.05                                0.21                            1.09
0806-164721-3yxplc9e    True            5                 3.37                  3.37          0.03                   19.15                    19.17                                0.19                            1.01
0806-030527-b6lhf1ua    True            6                 3.37                  5.24          0.03                   17.34                    17.39                                0.21                            1.01
0806-204715-txcqd5oy    True            7                 3.37                  7.95          0.03                   20.88                    21.46                                0.30                            0.91
0807-145359-mh9zrpci    True            5                 3.37                  3.38          0.03                   18.04                    18.04                                0.19                            0.89
0804-193055-9zrivuvm    True            6                 3.37                  3.90          0.03                   16.65                    16.66                                0.23                            1.03
0709-161221-2r9eidna   False           46                 3.37                  4.66          0.04                   19.55                    20.82                                0.10                            1.06
0807-035945-tts1lh02    True           42                 3.36                 26.36          0.02                   27.79                    30.92                                0.43                            1.36
0805-134220-zi18v5zm   False         1251                 3.36                 49.71          0.13                   24.80                    28.31                               25.51                            0.58
0807-140235-f3bfm5g2    True          186                 3.36                 24.43          0.14                   53.85                    71.90                               32.87                            1.83
0804-115625-ur27b02a   False          478                 3.35                  8.54          0.03                   21.44                    22.28                                0.09                            0.43
0806-212349-z900cjyq    True            5                 3.35                  3.42          0.03                   17.75                    17.78                                0.20                            1.14
0801-132819-5na6dafm    True           96                 3.35                 39.26          0.24                   61.01                    62.09                                0.00                            0.00
0807-212349-qh0x20ia    True          561                 3.34                 37.17          0.07                   20.49                    21.33                               11.25                            2.76
0807-093738-u96l1g5u    True            8                 3.34                  4.87          0.04                   18.40                    18.46                                0.21                            0.93
0805-153501-06ek4z6a    True           15                 3.34                  5.46          0.04                   19.24                    19.39                                0.24                            1.03
0807-201216-24mqs7pu    True           10                 3.34                  3.93          0.03                   16.27                    16.39                                0.29                            1.44
0803-130811-4bh2s9aq    True            5                 3.34                  3.68          0.04                   18.07                    18.07                                0.18                            0.92
0805-054249-ywa1sqvm    True            5                 3.34                  3.94          0.03                   15.41                    15.45                                0.18                            0.94
0806-060010-tu28ritu   False            8                 3.34                  3.57          0.20                   22.53                    23.15                                1.81                            0.37
0804-172428-wiqo7mz6    True           60                 3.33                  7.72          0.04                   37.35                    41.31                                0.18                            1.04
0805-175057-2fc2ruaa   False          194                 3.33                  3.99          0.01                    9.95                    10.50                            21540.34                        21636.00
0804-104949-fdq5xq8i    True           12                 3.33                  7.46          0.04                   65.57                    66.87                                1.33                           14.21
0806-170458-9haulnwy    True            6                 3.33                  4.86          0.03                   16.03                    16.11                                2.81                            0.99
0801-210457-yco74sgi    True           11                 3.33                  5.08          0.03                   16.64                    16.84                                0.49                            1.83
0801-211202-fdo9n1g2   False           12                 3.33                  3.51          0.12                    7.10                     7.25                                0.11                            0.57
0708-054558-pewfi99x    True          317                 3.33                 46.33          0.05                   47.91                    51.28                                8.90                            1.33
0805-084538-fdl52d5e    True           13                 3.33                  5.08          0.03                   18.89                    19.02                                0.26                            1.39
0725-140118-45x78geq   False         2120                 3.33                 22.43          0.05                   22.04                    24.18                                0.55                            0.49
0801-145736-9iq54zyq   False          522                 3.33                 11.40          0.03                   26.19                    30.25                                0.15                            0.56
0805-010722-hp7937yq    True           13                 3.32                  4.52          0.03                   17.67                    17.94                                0.25                            1.11
0802-092303-dpx34qvm    True           12                 3.32                  7.99          0.04                   64.84                    65.60                                1.16                           11.53
0805-151733-272fkyc2   False          137                 3.32                 34.57          0.04                   23.60                    34.16                                0.87                            0.73
0805-183423-lwjcepea    True            5                 3.32                  3.41          0.04                   19.13                    19.13                                0.18                            0.96
0801-024549-h6c4i2aa    True            7                 3.32                  4.09          0.04                   16.57                    16.60                                0.23                            1.16
0805-100624-jor04ob6    True           60                 3.32                  8.08          0.04                   38.04                    41.91                                0.18                            1.08
0805-191241-ur7v07bm   False          244                 3.32                  7.43          0.03                   21.85                    22.73                                0.09                            0.43
0804-212202-kc6te0pe    True            9                 3.31                  5.52          0.04                   17.24                    17.39                                0.28                            1.11
0802-010011-up2ystua   False           56                 3.31                  5.70          0.04                   22.49                    23.56                                0.33                            0.37
0805-054722-dw218xea    True            5                 3.31                  3.37          0.04                   18.45                    18.48                                0.19                            0.72
0802-223716-9ju1vr4i   False            8                 3.31                  3.85          0.03                   19.20                    23.45                                0.14                            0.33
0805-084501-uen19tsi    True            8                 3.31                  4.84          0.03                   16.17                    16.27                                0.36                            1.28
0805-171932-vjwyyv4i    True           15                 3.31                  7.59          0.03                   15.82                    16.26                                0.32                            1.19
0806-164742-aqe8cu8i    True            5                 3.30                  3.40          0.04                   17.27                    17.31                                0.19                            0.87
0805-173755-lcr5wniq   False            7                 3.30                  5.38          0.03                   24.15                    24.28                                0.33                            0.31
0806-204305-vqccs7bm    True           12                 3.30                  5.80          0.03                   18.66                    18.83                                0.28                            0.99
0802-174743-1bgrq61e   False          194                 3.30                  4.03          0.01                   10.08                    10.45                            21925.81                        21966.48
0731-132646-d1x26782    True           11                 3.29                  4.25          0.05                   20.36                    20.37                                0.55                            1.53
0804-153241-44kfwtg2    True            5                 3.29                  3.65          0.04                   16.42                    16.44                                0.34                            1.34
0807-175424-hywc6hw2   False            7                 3.29                  6.08          0.04                   36.81                    48.09                               10.03                            9.40
0712-024633-2me9hwps    True          146                 3.29                  7.92          0.06                   42.66                    44.18                                0.40                            1.09
0801-195906-0dwi6n0y    True            6                 3.29                  3.95          0.03                   18.78                    18.82                                0.19                            0.88
0804-175052-3icre0b6   False          194                 3.29                  3.81          0.01                    9.96                    10.52                            21540.07                        21632.41
0805-023510-qm1mxyqa   False          266                 3.29                  4.47          0.05                   21.30                    21.97                                0.09                            0.48
0804-230423-7853ctn6    True          174                 3.29                 15.20          0.04                   44.46                    47.22                                0.21                            1.21
0806-001657-uf81j7yq    True            5                 3.29                  3.31          0.03                   18.72                    18.73                                0.20                            0.86
0806-160310-pkdwlgeq    True            5                 3.28                  3.53          0.03                   16.98                    16.99                                0.18                            0.84
